"5,-1,-2,5,0,0,0",n,"20020,20020,20020,20020,20020,20020,20020"
"4,2,3,2,3,3,2","1,5,6,3,7,2,4","33375,27069,29119,26617,28438,26552,28203","9215,3253,3598,3901,8023,3948,3502",A1JNDBFZZBTEA0,Laptop,46 - 52,WiFi,blurriness
"5,3,3,3,4,4,3","1,5,6,2,7,4,3","32789,29614,26479,24914,29653,25945,24436","8823,3848,7092,2121,9543,4201,3040",A8ZUM922CBH6S,Laptop,46 - 52,Cable network,some of the videos had periodic instances where the video was quite blurry. none of those instances lasted long enough for the video to be deemed unsatisfactory to me.
"4,5,4,5,5,3,4","1,4,7,2,6,3,5","66527,13174,13250,7100,9981,13682,24076","13781,28217,8259,3426,5783,5560,10044",ACRGYG82LFYTU,Laptop,25 - 31,WiFi,good
"5,2,2,2,3,2,2","1,5,2,7,4,3,6","25426,26338,26087,25946,28315,25324,25725","20872,4450,4258,3831,6826,5112,3660",A30Y3H3UJ9QKWV,Laptop,25 - 31,Cable network,The specific frames where the video got blurry. (Whether or not there was anything happening in the scene when it blurred)
"5,5,5,5,5,5,5","1,4,6,7,5,2,3","25729,18607,15552,26965,13155,23957,20095","7752,3109,3377,3613,4265,11499,3753",A90G0G4SJ26BM,Laptop,32 - 38,WiFi,none
"5,4,3,4,3,4,3","1,2,6,3,4,7,5","36904,49752,31810,30918,31758,32332,32845","39121,21870,7564,7767,9036,6369,7059",A1KL8QLFQ4YTOL,Laptop,25 - 31,Cable network,looked mildly blur when compared to the original video
"5,5,5,4,4,4,4","1,4,5,6,2,7,3","17294,27001,30059,26444,29551,24350,36434","15062,4008,7337,2967,3276,3218,3686",A2XPWASDT8AYXH,Laptop,46 - 52,Cable network,just some out of focus occassionally was the only difference I noted. 
"5,2,3,3,3,4,4","1,7,6,2,5,4,3","46061,33157,26016,37670,33212,33949,29662","40964,4312,3658,12607,16869,4415,18012",A1BF1W2XN5BWFQ,Laptop,25 - 31,WiFi,Sometimes Blur
"5,5,5,5,5,5,5","1,6,5,2,4,7,3","52870,32801,36432,32304,46337,77310,38725","4934,4598,7546,5856,6174,14332,4330",A2RY24DUOWXUWU,Desktop,25 - 31,Cable network,None
"3,3,4,5,2,3,3","1,7,4,6,2,5,3","5974,9757,6890,5165,6220,9801,5032","4588,3456,3578,6862,4056,6379,5150",A2VMYFT70HRXLD,Desktop,25 - 31,Cable network,Quality of the video
"5,4,5,4,5,4,3","1,7,3,6,4,2,5","62784,72713,40821,35714,34947,26394,15991","3472,4354,7632,5757,3810,3463,3421",A86CAG3LG83GG,Desktop,25 - 31,Cable network,i saw the quality of the video
"5,5,5,5,5,5,5","1,7,4,2,6,5,3","32823,21940,9632,23101,10645,9865,28484","30386,11318,49879,17441,5211,6131,32328",A6B8HB98TB1HJ,Laptop,32 - 38,Cellular network,All the videos I watched were the same and made no difference.
"5,4,5,5,5,5,5","1,2,3,6,7,5,4","29005,46122,36101,29462,26243,27130,26395","64794,8467,4911,5810,8902,9196,3880",A1SQ8RH8DN9QT7,Laptop,32 - 38,Cable network,no comments
"5,4,4,4,4,4,4","1,5,4,3,6,2,7","23391,32366,87447,3793,14504,4277,2586","12060,7069,2577,8566,5534,7653,7035",A3P57IUDHUKNCE,Desktop,25 - 31,WiFi,none
"5,4,3,4,5,4,4","1,4,7,5,3,6,2","12595,6824,8065,16451,6946,9030,6782","3413,4271,4072,6914,3490,3575,3590",A1VPSWYSCJYPEB,Desktop,25 - 31,Cable network,none
"5,5,5,5,5,5,5","1,6,2,5,3,7,4","35364,38189,36258,56849,42921,39212,39533","4637,3211,3170,3657,3243,3729,3441",A3J08ETUZNPUF3,Laptop,25 - 31,Cable network,none
"5,5,5,5,5,5,5","1,7,6,2,4,5,3","100931,40650,38150,35908,55772,34602,38031","3833,3739,2843,3031,3186,7234,5273",A3NNWJI1G86RJ2,Laptop,25 - 31,Cable network,none
"5,3,4,4,4,4,3","1,6,7,5,2,3,4","35775,28511,26989,27950,28621,27237,26118","21022,4439,2428,4742,3905,11150,3137",A12BPNWOK3NZT9,Desktop,39 - 45,WiFi,"There was blurring at different moments in the the subsequent videos. Most of the time it made no difference to me, but at other times it seemed to last longer or be at more I thought could be seen as more critical to content. "
"4,5,5,4,4,4,4","1,5,6,3,4,2,7","9525,13751,13638,11358,8324,9966,10844","4042,8292,8153,7947,4314,3795,7916",AYMJAMX7Z7YHG,Desktop,25 - 31,Cable network,none
"4,5,3,3,2,4,2","1,2,6,4,7,3,5","41433,55512,39487,72885,33898,36797,33255","32805,55891,18014,22195,14558,16415,7692",A169TUV6LKM249,Laptop,53 - 59,WiFi,some part was blur 
"5,5,5,5,5,5,5","1,7,6,4,5,3,2","60680,69140,36259,36511,88314,29798,107284","7190,3818,4946,11339,4052,4879,12647",ATXUM0GBU5MC8,Laptop,25 - 31,Cable network,None
"3,5,5,4,4,5,4","1,5,4,3,6,2,7","4796,8337,26876,7420,64877,7022,14030","4801,7174,4361,3264,13185,3938,7869",AXHC7OMH8XE9U,Laptop,25 - 31,Cable network," In the video Quality reviewed,Car color & car elephant hit the other "
"5,4,3,4,3,3,5","1,4,5,3,6,2,7","13861,12114,17708,13478,9399,11195,17263","12629,6796,6880,5749,7830,4559,7139",A2KJTIK733IRJK,Laptop,32 - 38,WiFi, none
"3,5,5,5,5,3,3","1,6,5,2,4,7,3","29220,33866,35088,31868,34615,34944,35348","14653,5214,4894,9784,3760,3988,15754",A55CIU3THAZM9,Laptop,32 - 38,Cable network,no comments
"5,3,2,3,3,2,4","1,5,6,3,7,4,2","38634,35989,77296,61561,30632,60961,51010","25724,6520,178316,5868,20596,59546,17005",A2HWF3DPE0MDCN,Laptop,18 - 24,Cable network,Some got really blurry in between.
